date,price
2010/10/8,16.4
2010/10/11,16.6
2010/10/12,16.3
2010/10/13,16.2
2010/10/14,16.35
2010/10/15,16.2
2010/10/18,16
2010/10/19,16
2010/10/20,16.05
2010/10/21,16
2010/10/22,15.9
2010/10/25,16.1
2010/10/26,16.15
2010/10/27,15.95
2010/10/28,16.05
2010/10/29,16.4
2010/11/1,16.5
2010/11/2,16.5
2010/11/3,16.1
2010/11/4,16.25
2010/11/5,16.25
2010/11/8,15.85
2010/11/9,15.85
2010/11/10,15.95
2010/11/11,15.9
2010/11/12,15.8
2010/11/15,15.7
2010/11/16,16.25
2010/11/17,16.1
2010/11/18,16.15
2010/11/19,15.95
2010/11/22,16.05
2010/11/23,16.35
2010/11/24,16
2010/11/25,15.9
2010/11/26,15.85
2010/11/29,15.9
2010/11/30,15.9
2010/12/1,16.25
2010/12/2,16.1
2010/12/3,16.2
2010/12/6,16.2
2010/12/7,17
2010/12/8,16.6
2010/12/9,16.7
2010/12/10,16.65
2010/12/13,16.85
2010/12/14,16.6
2010/12/15,16.6
2010/12/16,16.6
2010/12/17,17
2010/12/20,16.8
2010/12/21,17.1
2010/12/22,17.05
2010/12/23,17.1
2010/12/24,17.5
2010/12/27,17.6
2010/12/28,17.6
2010/12/29,17.7
2010/12/30,17.4
2010/12/31,17.15
2011/1/3,17.6
2011/1/4,18.05
2011/1/5,17.65
2011/1/6,18.2
2011/1/7,17.85
2011/1/10,17.6
2011/1/11,17.65
2011/1/12,17.55
2011/1/13,17.65
2011/1/14,17.65
2011/1/17,17.35
2011/1/18,17.3
2011/1/19,17.6
2011/1/20,17.55
2011/1/21,17.3
2011/1/24,17.3
2011/1/25,17.6
2011/1/26,18
2011/1/27,17.8
2011/1/28,17.6
2011/2/8,17.15
2011/2/9,17.05
2011/2/10,17
2011/2/11,16.15
2011/2/14,16.35
2011/2/15,16.25
2011/2/16,16.2
2011/2/17,16.1
2011/2/18,16.25
2011/2/21,16.2
2011/2/22,15.85
2011/2/23,15.8
2011/2/24,15.9
2011/2/25,16.15
2011/3/1,17
2011/3/2,16.6
2011/3/3,16.7
2011/3/4,16.5
2011/3/7,16.3
2011/3/8,16.3
2011/3/9,16.15
2011/3/10,15.9
2011/3/11,15.85
2011/3/14,15.15
2011/3/15,14.1
2011/3/16,14.25
2011/3/17,14.2
2011/3/18,14.5
2011/3/21,14.75
2011/3/22,14.95
2011/3/23,14.95
2011/3/24,15.1
2011/3/25,15.1
2011/3/28,14.8
2011/3/29,14.75
2011/3/30,14.9
2011/3/31,15
2011/4/1,15
2011/4/6,15.2
2011/4/7,15.1
2011/4/8,15.15
2011/4/11,15.35
2011/4/12,15.2
2011/4/13,15.15
